range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
30, 1.606696191999918e9, 3, -1.8868970341076134e6, 6.155435589581638e6, 2.583428917895143e6, -1.8869909942296199e6, 6.15532479114327e6, 2.5832531918546134e6, 227.30340166029194, 228.00096445482117
30, 1.606696191999918e9, 4, -1.8868970341076134e6, 6.155435589581638e6, 2.583428917895143e6, -1.887105141455115e6, 6.15551923120928e6, 2.5830608555964082e6, 429.1535089340918, 431.01559798769637
31, 1.606696251999918e9, 2, -1.8333906689781267e6, 6.331802408552973e6, 2.161898442377836e6, -1.8335848818067757e6, 6.33205293534793e6, 2.1620644051281456e6, 355.7187078390707, 357.80711604660996
31, 1.606696251999918e9, 3, -1.8333906689781267e6, 6.331802408552973e6, 2.161898442377836e6, -1.8334770957464182e6, 6.3316827942430135e6, 2.161713038761309e6, 238.13984704887292, 236.96343693834984
31, 1.606696251999918e9, 4, -1.8333906689781267e6, 6.331802408552973e6, 2.161898442377836e6, -1.8335881581041873e6, 6.331878737773294e6, 2.161523720865876e6, 431.0268448570034, 430.40018158989636
32, 1.606696311999918e9, 2, -1.770614623913692e6, 6.480558451105729e6, 1.731047480194223e6, -1.7708118479704054e6, 6.480830970718867e6, 1.7312336530619042e6, 384.74898563863457, 384.4796545360548
32, 1.606696311999918e9, 3, -1.770614623913692e6, 6.480558451105729e6, 1.731047480194223e6, -1.7706927385582298e6, 6.480428764450516e6, 1.7308526162810174e6, 244.38881075574022, 246.76399839005856
32, 1.606696311999918e9, 4, -1.770614623913692e6, 6.480558451105729e6, 1.731047480194223e6, -1.770800731011188e6, 6.480627099561709e6, 1.730667732094972e6, 424.6705590673708, 428.43562075494333
33, 1.606696371999918e9, 2, -1.6990811916055542e6, 6.600983468769139e6, 1.2927322594745108e6, -1.6992815340943814e6, 6.60128107812887e6, 1.2929389742272715e6, 414.9669419855777, 414.0524517955061
33, 1.606696371999918e9, 3, -1.6990811916055542e6, 6.600983468769139e6, 1.2927322594745108e6, -1.6991502599017478e6, 6.600842380642528e6, 1.2925282912950367e6, 258.53420449322317, 257.4476786604734
33, 1.606696371999918e9, 4, -1.6990811916055542e6, 6.600983468769139e6, 1.2927322594745108e6, -1.6992552425107346e6, 6.601044238914728e6, 1.2923491742863571e6, 427.08976066423867, 425.13643641990035
34, 1.606696431999918e9, 2, -1.6193461715558611e6, 6.692483875033637e6, 848842.004868182, -1.6195497122583382e6, 6.692809882112929e6, 849069.2633421962, 446.4603386547354, 446.49283009328013
34, 1.606696431999918e9, 3, -1.6193461715558611e6, 6.692483875033637e6, 848842.004868182, -1.619405511975776e6, 6.6923299979951605e6, 848629.4366738767, 272.22152981565574, 269.04398457508705
34, 1.606696431999918e9, 4, -1.6193461715558611e6, 6.692483875033637e6, 848842.004868182, -1.6195075808823316e6, 6.692536752259653e6, 848457.3024980297, 421.22478104806163, 420.52929184977745
35, 1.606696491999918e9, 2, -1.5320054385583657e6, 6.754595813025346e6, 401290.6370339313, -1.5322122163412538e6, 6.754953705385915e6, 401538.07453157025, 485.0158635431193, 481.7357247366929
35, 1.606696491999918e9, 3, -1.5320054385583657e6, 6.754595813025346e6, 401290.6370339313, -1.5320544310765585e6, 6.754427717012737e6, 401070.1309803781, 281.6283756007734, 281.5660774091573
35, 1.606696491999918e9, 4, -1.5320054385583657e6, 6.754595813025346e6, 401290.6370339313, -1.5321537080989573e6, 6.754640974319737e6, 400906.040385762, 412.3926088589306, 414.6540497347677
36, 1.606696551999918e9, 2, -1.4376912055987318e6, 6.7869876218410535e6, -47991.66912505728, -1.4379012041533296e6, 6.787381029257709e6, -47724.8151616766, 519.9391014232166, 519.6920493762216
36, 1.606696551999918e9, 3, -1.4376912055987318e6, 6.7869876218410535e6, -47991.66912505728, -1.4377292990658197e6, 6.786803851539302e6, -48219.28458696778, 295.8828828635216, 295.0109058008804
36, 1.606696551999918e9, 4, -1.4376912055987318e6, 6.7869876218410535e6, -47991.66912505728, -1.4378259213121736e6, 6.787025440886339e6, -48374.46211283387, 406.9693684124623, 407.5648109508418
